"","ddd_primary_addit..","ddd_primary_fe"
" ","Spec 1: additive controls","Spec 2: interacted cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.5109*** (0.0356)","  "
"Mother","0.0194 (0.0237)","-0.0011 (0.0230)"
"Post","0.1068*** (0.0219)","0.1092*** (0.0210)"
"WFH_Exposure","-0.1421 (0.1496)","  "
"MatzavMishpachti2","0.1177*** (0.0139)","0.1132*** (0.0133)"
"MatzavMishpachti3","0.0300*** (0.0058)","0.0289*** (0.0056)"
"MatzavMishpachti4","-0.0088 (0.0107)","-0.0098 (0.0110)"
"MatzavMishpachti5","-0.0022 (0.0058)","0.0014 (0.0059)"
"Dat2","-0.0549*** (0.0127)","-0.0567*** (0.0126)"
"Dat3","-0.3593*** (0.0186)","-0.3454*** (0.0198)"
"Dat4","-0.2869*** (0.0232)","-0.2645*** (0.0255)"
"Dat5","-0.0078 (0.0103)","-0.0087 (0.0103)"
"GilNK4","0.0095 (0.0106)","  "
"GilNK5","0.0296** (0.0097)","  "
"GilNK6","0.0229* (0.0105)","  "
"GilNK7","-0.0548*** (0.0103)","  "
"MachozMegurim2","0.0659*** (0.0142)","  "
"MachozMegurim3","0.0886*** (0.0111)","  "
"MachozMegurim4","0.1023*** (0.0121)","  "
"MachozMegurim5","0.0984*** (0.0133)","  "
"MachozMegurim6","0.0658*** (0.0125)","  "
"MachozMegurim7","0.0770*** (0.0129)","  "
"TeudaGvohaHigh School (no matriculation)","0.1608*** (0.0186)","  "
"TeudaGvohaMatriculation (Bagrut)","0.2156*** (0.0174)","  "
"TeudaGvohaPost-secondary, non-academic","0.2872*** (0.0180)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3493*** (0.0219)","  "
"TeudaGvohaOther/No Certificate","0.1374*** (0.0270)","  "
"Mother x Post","-0.0262 (0.0313)","-0.0332 (0.0307)"
"Mother x WFH_Exposure","-0.1088 (0.1069)","-0.0116 (0.1041)"
"Post x WFH_Exposure","-0.4166*** (0.0965)","-0.4223*** (0.0923)"
"Mother x Post x WFH_Exposure","0.1070 (0.1414)","0.1355 (0.1389)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","364,784","364,784"
"R2","0.22747","0.23547"
"Within R2","--","0.07316"
