"","phase2_twoway$add..","phase2_twoway$add..","phase2_twoway$fe$..","phase2_twoway$fe$.."
" ","Additive: 1-way (IDPUF)","Additive: 2-way (+occ x year)","FE: 1-way (IDPUF)","FE: 2-way (+occ x year)"
"Dependent Var.:","Employed","Employed","Employed","Employed"
"  "," "," "," "," "
"Constant","0.8325*** (0.0102)","0.8325*** (0.0108)","  ","  "
"Mother","0.0045 (0.0093)","0.0045 (0.0095)","0.0011 (0.0092)","0.0011 (0.0092)"
"Post","-0.0035 (0.0114)","-0.0035 (0.0129)","-0.0030 (0.0113)","-0.0030 (0.0128)"
"WFH_Exposure","0.0288 (0.0286)","0.0288 (0.0386)","0.0263 (0.0282)","0.0263 (0.0386)"
"MatzavMishpachti2","0.0358*** (0.0063)","0.0358*** (0.0069)","0.0352*** (0.0063)","0.0352*** (0.0070)"
"MatzavMishpachti3","-0.0133*** (0.0037)","-0.0133*** (0.0036)","-0.0129*** (0.0037)","-0.0129*** (0.0037)"
"MatzavMishpachti4","-0.0069 (0.0114)","-0.0069 (0.0104)","-0.0077 (0.0111)","-0.0077 (0.0100)"
"MatzavMishpachti5","-0.0168*** (0.0034)","-0.0168*** (0.0038)","-0.0145*** (0.0035)","-0.0145*** (0.0038)"
"Dat2","0.0109* (0.0052)","0.0109 (0.0080)","0.0119* (0.0053)","0.0119 (0.0080)"
"Dat3","-0.0515*** (0.0048)","-0.0515*** (0.0065)","-0.0495*** (0.0048)","-0.0495*** (0.0064)"
"Dat4","-0.0440*** (0.0116)","-0.0440*** (0.0123)","-0.0384*** (0.0116)","-0.0384** (0.0124)"
"Dat5","0.0173** (0.0054)","0.0173** (0.0057)","0.0176** (0.0054)","0.0176** (0.0057)"
"GilNK4","0.0169*** (0.0038)","0.0169*** (0.0047)","  ","  "
"GilNK5","0.0390*** (0.0035)","0.0390*** (0.0044)","  ","  "
"GilNK6","0.0533*** (0.0034)","0.0533*** (0.0048)","  ","  "
"GilNK7","0.0345*** (0.0053)","0.0345*** (0.0064)","  ","  "
"MachozMegurim2","-0.0020 (0.0046)","-0.0020 (0.0049)","  ","  "
"MachozMegurim3","0.0072 (0.0045)","0.0072. (0.0041)","  ","  "
"MachozMegurim4","0.0118** (0.0040)","0.0118** (0.0037)","  ","  "
"MachozMegurim5","0.0117** (0.0041)","0.0117** (0.0039)","  ","  "
"MachozMegurim6","-0.0029 (0.0048)","-0.0029 (0.0048)","  ","  "
"MachozMegurim7","0.0075 (0.0055)","0.0075 (0.0046)","  ","  "
"TeudaGvohaHigh School (no matriculation)","0.0333*** (0.0073)","0.0333*** (0.0096)","  ","  "
"TeudaGvohaMatriculation (Bagrut)","0.0455*** (0.0070)","0.0455*** (0.0098)","  ","  "
"TeudaGvohaPost-secondary, non-academic","0.0632*** (0.0070)","0.0632*** (0.0107)","  ","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.0792*** (0.0067)","0.0792*** (0.0108)","  ","  "
"TeudaGvohaOther/No Certificate","0.0448*** (0.0123)","0.0448*** (0.0134)","  ","  "
"Mother x Post","-0.0056 (0.0157)","-0.0056 (0.0152)","-0.0039 (0.0154)","-0.0039 (0.0149)"
"Mother x WFH_Exposure","-0.0369 (0.0374)","-0.0369 (0.0389)","-0.0216 (0.0371)","-0.0216 (0.0383)"
"Post x WFH_Exposure","-0.0462 (0.0436)","-0.0462 (0.0468)","-0.0470 (0.0432)","-0.0470 (0.0467)"
"Mother x Post x WFH_Exposure","0.0392 (0.0623)","0.0392 (0.0581)","0.0327 (0.0614)","0.0327 (0.0570)"
"Fixed-Effects:","-------------------","-------------------","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","No","Yes","Yes"
"________________________________________","___________________","___________________","___________________","___________________"
"S.E.: Clustered","by: IDPUF","by: MishlachYad_I..","by: IDPUF","by: MishlachYad_I.."
"Observations","293,075","293,075","293,075","293,075"
"R2","0.01958","0.01958","0.02456","0.02456"
"Within R2","--","--","0.00390","0.00390"
