"","additive","fe"
" ","Placebo Spec 1: additive controls","Placebo Spec 2: interacted cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.6629*** (0.0378)","  "
"Mother","-0.0095 (0.0351)","-0.0055 (0.0323)"
"Post","-0.0480* (0.0195)","-0.0470* (0.0202)"
"WFH_Exposure","-0.2475 (0.1820)","  "
"MatzavMishpachti2","-0.0053 (0.0156)","-0.0080 (0.0155)"
"MatzavMishpachti3","-0.0331*** (0.0082)","-0.0365*** (0.0081)"
"MatzavMishpachti4","-0.1138*** (0.0288)","-0.1152*** (0.0294)"
"MatzavMishpachti5","-0.0830*** (0.0119)","-0.0896*** (0.0110)"
"Dat2","0.0294** (0.0101)","0.0276** (0.0096)"
"Dat3","-0.0323* (0.0130)","-0.0431*** (0.0113)"
"Dat4","-0.0396** (0.0151)","-0.0437** (0.0148)"
"Dat5","0.0212* (0.0098)","0.0201* (0.0098)"
"GilNK4","0.0456** (0.0155)","  "
"GilNK5","0.0055 (0.0161)","  "
"GilNK6","-0.0093 (0.0159)","  "
"GilNK7","-0.0348* (0.0171)","  "
"MachozMegurim2","0.0663** (0.0213)","  "
"MachozMegurim3","0.0895*** (0.0197)","  "
"MachozMegurim4","0.1177*** (0.0212)","  "
"MachozMegurim5","0.0993*** (0.0230)","  "
"MachozMegurim6","0.0720*** (0.0209)","  "
"MachozMegurim7","0.0255 (0.0335)","  "
"TeudaGvohaHigh School (no matriculation)","0.0410. (0.0212)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1593*** (0.0184)","  "
"TeudaGvohaPost-secondary, non-academic","0.2057*** (0.0209)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.2678*** (0.0346)","  "
"TeudaGvohaOther/No Certificate","0.0494. (0.0276)","  "
"Mother x Post","-0.0016 (0.0216)","-0.0098 (0.0222)"
"Mother x WFH_Exposure","-0.3568*** (0.1005)","-0.3223** (0.0983)"
"Post x WFH_Exposure","0.1390. (0.0736)","0.1429. (0.0759)"
"Mother x GilNK4","0.0580 (0.0447)","0.0634. (0.0359)"
"Mother x GilNK5","0.1370*** (0.0382)","0.1260*** (0.0334)"
"Mother x GilNK6","0.1386*** (0.0339)","0.1275*** (0.0297)"
"Mother x GilNK7","0.0875** (0.0333)","0.0750* (0.0293)"
"Mother x Post x WFH_Exposure","0.0305 (0.0827)","0.0577 (0.0839)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","331,788","331,788"
"R2","0.09727","0.11686"
"Within R2","--","0.01518"
