"","ddd_reweighted$ad..","ddd_reweighted$fe"
" ","Reweighted: additive","Reweighted: cell FE"
"Dependent Var.:","Employed","Employed"
"  "," "," "
"Constant","0.5039*** (0.0234)","  "
"Mother","0.0123 (0.0142)","0.0091 (0.0136)"
"Post","0.0403** (0.0145)","0.0415** (0.0142)"
"WFH_Exposure","-0.0095 (0.0495)","-0.0052 (0.0499)"
"MatzavMishpachti2","0.1614*** (0.0160)","0.1544*** (0.0154)"
"MatzavMishpachti3","0.0381*** (0.0071)","0.0362*** (0.0066)"
"MatzavMishpachti4","0.0266* (0.0116)","0.0226. (0.0117)"
"MatzavMishpachti5","0.0035 (0.0065)","0.0053 (0.0066)"
"Dat2","-0.0376* (0.0154)","-0.0386* (0.0153)"
"Dat3","-0.3574*** (0.0168)","-0.3411*** (0.0185)"
"Dat4","-0.2611*** (0.0219)","-0.2387*** (0.0245)"
"Dat5","0.0046 (0.0124)","0.0047 (0.0124)"
"GilNK4","0.0146 (0.0112)","  "
"GilNK5","0.0246** (0.0094)","  "
"GilNK6","0.0280** (0.0104)","  "
"GilNK7","-0.0439*** (0.0115)","  "
"MachozMegurim2","0.0644*** (0.0140)","  "
"MachozMegurim3","0.0823*** (0.0115)","  "
"MachozMegurim4","0.0964*** (0.0124)","  "
"MachozMegurim5","0.0853*** (0.0137)","  "
"MachozMegurim6","0.0649*** (0.0123)","  "
"MachozMegurim7","0.0783*** (0.0123)","  "
"TeudaGvohaHigh School (no matriculation)","0.1432*** (0.0189)","  "
"TeudaGvohaMatriculation (Bagrut)","0.1970*** (0.0180)","  "
"TeudaGvohaPost-secondary, non-academic","0.2669*** (0.0187)","  "
"TeudaGvohaAcademic Degree (BA/MA/PhD)","0.3231*** (0.0206)","  "
"TeudaGvohaOther/No Certificate","0.1658*** (0.0323)","  "
"Mother x Post","0.0053 (0.0188)","0.0023 (0.0188)"
"Mother x WFH_Exposure","-0.0684 (0.0591)","-0.0495 (0.0582)"
"Post x WFH_Exposure","-0.1763** (0.0575)","-0.1756** (0.0563)"
"Mother x Post x WFH_Exposure","0.0084 (0.0800)","0.0182 (0.0801)"
"Fixed-Effects:","-------------------","-------------------"
"GilNK-TeudaGvoha-MachozMegurim","No","Yes"
"________________________________________","___________________","___________________"
"S.E.: Clustered","by: GilNK,TeudaGv..","by: GilNK,TeudaGv.."
"Observations","355,984","355,984"
"R2","0.21850","0.22814"
"Within R2","--","0.06830"
